ID,Traditional,Simplified,Pinyin,Meaning
B00095,白果,白果,báiguǒ,
B00113,百合,百合,bǎihé,
B00096,白話,白话,báihuà,
B00098,白樺,白桦,báihuà,
B00126,敗壞,败坏,bàihuài,
B00114,百花齊放,百花齐放,bǎihuā-qífàng,
B00097,白話文,白话文,báihuàwén,
B00130,拜會,拜会,bàihuì,
B00115,百貨,百货,bǎihuò,
B00116,百家争鳴,百家争鸣,bǎijiā-zhēngmíng,
B00099,白净,白净,báijing,
Q008,白淨/白净,白净,báijing,
B00100,白酒,白酒,báijiǔ,
B00117,百科全書,百科全书,bǎikē quánshū,
B00101,白領,白领,báilǐng,
B00118,百靈,百灵,bǎilíng,
B00131,拜年,拜年,bàinián,
A00083,百年,百年,bǎinián,
B00102,白人,白人,báirén,
B00103,白日,白日,báirì,
A00079,白色,白色,báisè,
B00124,擺設,摆设,bǎishè,
A00080,白薯,白薯,báishǔ,
B00127,敗訴,败诉,bàisù,
B00104,白糖,白糖,báitáng,
B00132,拜托,拜托,bàituō,
A00088,擺脱,摆脱,bǎituō,
B00105,白皙,白皙,báixī,
A00084,百姓,百姓,bǎixìng,
B00106,白眼,白眼,báiyǎn,
B00108,白蟻,白蚁,báiyǐ,
B00107,白衣天使,白衣天使,báiyī tiānshǐ,
B00109,白銀,白银,báiyín,
B00120,柏油,柏油,bǎiyóu,
B00128,敗仗,败仗,bàizhàng,
B00119,百折不撓,百折不挠,bǎizhé-bùnáo,
B00110,白晝,白昼,báizhòu,
A00061,芭蕉,芭蕉,bājiāo,
B00073,拔節,拔节,bájié,
Q003,巴結,巴结,bājie,
B00068,巴結,巴结,bājié,
B00086,罷課,罢课,bàkè,
A00062,芭蕾舞,芭蕾舞,bālěiwǔ,
E077,把門兒,把门儿,bǎménr,
B00078,把門兒（把門）,把门儿（把门）,bǎménr (bǎmén),
B00087,罷免,罢免,bàmiǎn,
A00105,辦,办,bàn,
A00110,半,半,bàn,
A00118,伴,伴,bàn,
A00116,扮,扮,bàn,
A00122,拌,拌,bàn,
A00123,絆,绊,bàn,
A00124,瓣,瓣,bàn,
A00100,板／闆,板,bǎn,
A00104,版,版,bǎn,
A00091,扳,扳,bān,
A00092,班,班,bān,
A00093,般,般,bān,
A00096,斑,斑,bān,
A00097,搬,搬,bān,
B00152,辦案,办案,bàn’àn,
B00139,斑白,斑白,bānbái,
B00147,版本,版本,bǎnběn,
B00155,半邊,半边,bànbiān,
B00140,斑駁,斑驳,bānbó,
A00094,頒布,颁布,bānbù,
E001,板擦兒,板擦儿,bǎncār,
B00133,班車,班车,bānchē,
B00156,半成品,半成品,bànchéngpǐn,
A00112,半島,半岛,bàndǎo,
E162,半道兒,半道儿,bàndàor,
A00111,半導體,半导体,bàndǎotǐ,
A00101,板凳,板凳,bǎndèng,
F011,板凳,板凳,bǎndèng,
B00141,斑點,斑点,bāndiǎn,
B00157,半點兒,半点儿,bàndiǎnr,
E030,半點兒,半点儿,bàndiǎnr,
A00106,辦法,办法,bànfǎ,
A00095,頒發,颁发,bānfā,
A00134,蚌,蚌,bàng,
A00136,傍,傍,bàng,
A00135,棒,棒,bàng,
A00130,綁,绑,bǎng,
A00131,榜,榜,bǎng,
A00125,邦,邦,bāng,
A00126,幫,帮,bāng,
A00129,梆,梆,bāng,
A00138,磅,磅,bàng / páng,
